gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|147903575|ref|NP_001082623|	 PP2A B'' subunit PR130 [Xenopus laevis]
gi|147903577|ref|NP_001090190|	 surfactant, pulmonary-associated protein C [Xenopus laevis]
gi|147903579|ref|NP_001080644|	 dnaJ homolog subfamily B member 14 [Xenopus laevis]
gi|147903581|ref|NP_001084568|	 uncharacterized protein LOC414520 [Xenopus laevis]
gi|147903585|ref|NP_001083218|	 uncharacterized protein LOC398807 [Xenopus laevis]
gi|147903589|ref|NP_001086466|	 growth differentiation factor 5 precursor [Xenopus laevis]
gi|147903591|ref|NP_001081151|	 regulator of G-protein signaling 19 [Xenopus laevis]
gi|147903593|ref|NP_001080822|	 cathepsin S precursor [Xenopus laevis]
gi|147903597|ref|NP_001080386|	 retinaldehyde binding protein 1 [Xenopus laevis]
gi|147903599|ref|NP_001089259|	 SR-related CTD-associated factor 8 [Xenopus laevis]
gi|147903603|ref|NP_001088502|	 DET1- and DDB1-associated protein 1 [Xenopus laevis]
gi|147903605|ref|NP_001084061|	 activin receptor type-2A precursor [Xenopus laevis]
gi|147903607|ref|NP_001087624|	 E3 ubiquitin-protein ligase arkadia-C [Xenopus laevis]
gi|147903611|ref|NP_001080153|	 actin related protein 2/3 complex, subunit 1A, 41kDa [Xenopus laevis]
gi|147903613|ref|NP_001089026|	 metastatic lymph node 51 [Xenopus laevis]
gi|147903615|ref|NP_001083372|	 polymerase (RNA) II (DNA directed) polypeptide B, 140kDa [Xenopus laevis]
gi|147903617|ref|NP_001088496|	 mitochondrial ribosomal protein L12 [Xenopus laevis]
gi|147903619|ref|NP_001085315|	 40S ribosomal protein S3-B [Xenopus laevis]
gi|147903621|ref|NP_001079558|	 hypothetical protein LOC379245 [Xenopus laevis]
gi|147903623|ref|NP_001088431|	 uncharacterized protein LOC495295 [Xenopus laevis]
gi|147903625|ref|NP_001083498|	 uncharacterized protein LOC398959 [Xenopus laevis]
gi|147903629|ref|NP_001090105|	 Sp6 transcription factor [Xenopus laevis]
gi|147903631|ref|NP_001085416|	 sorting nexin 17 [Xenopus laevis]
gi|147903633|ref|NP_001080834|	 leptin receptor [Xenopus laevis]
gi|147903637|ref|NP_001086983|	 striatin, calmodulin binding protein 3 [Xenopus laevis]
gi|147903643|ref|NP_001091440|	 ER degradation enhancer, mannosidase alpha-like 1 precursor [Xenopus laevis]
gi|147903645|ref|NP_001086312|	 Golgi to ER traffic protein 4 homolog B [Xenopus laevis]
gi|147903649|ref|NP_001090564|	 HAUS augmin-like complex, subunit 6 [Xenopus laevis]
gi|147903651|ref|NP_001088991|	 X-epilectin precursor [Xenopus laevis]
gi|147903655|ref|NP_001088618|	 protein arginine methyltransferase 5 [Xenopus laevis]
gi|147903657|ref|NP_001079746|	 hemoglobin subunit alpha-5 [Xenopus laevis]
gi|147903659|ref|NP_001083317|	 heat shock 70kDa protein 4 [Xenopus laevis]
gi|147903661|ref|NP_001086969|	 zinc finger CCCH-type containing 7B [Xenopus laevis]
gi|147903663|ref|NP_001082498|	 yrdC domain containing [Xenopus laevis]
gi|147903665|ref|NP_001086486|	 prolactin, gene 1 [Xenopus laevis]
gi|147903667|ref|NP_001086859|	 differentially expressed in FDCP 8 homolog A [Xenopus laevis]
gi|147903669|ref|NP_001083165|	 uncharacterized protein LOC398780 [Xenopus laevis]
gi|147903671|ref|NP_001083512|	 uridine-cytidine kinase 1-A [Xenopus laevis]
gi|147903673|ref|NP_001085838|	 G protein-coupled receptor kinase interacting ArfGAP 2 [Xenopus laevis]
gi|147903675|ref|NP_001081499|	 bone morphogenetic protein 1 precursor [Xenopus laevis]
gi|147903679|ref|NP_001086877|	 eukaryotic translation elongation factor 2, gene 2 [Xenopus laevis]
gi|147903681|ref|NP_001088043|	 ankyrin repeat domain 13A [Xenopus laevis]
gi|147903687|ref|NP_001080918|	 protein lin-28 homolog A [Xenopus laevis]
gi|147903689|ref|NP_001089796|	 hypothetical protein LOC734861 [Xenopus laevis]
gi|147903691|ref|NP_001088835|	 patatin-like phospholipase domain containing 4 [Xenopus laevis]
gi|147903693|ref|NP_001087465|	 family with sequence similarity 107, member B [Xenopus laevis]
gi|147903695|ref|NP_001083904|	 fibroblast growth factor 8 (androgen-induced) [Xenopus laevis]
gi|147903699|ref|NP_001089158|	 protein Shroom3 [Xenopus laevis]
gi|147903705|ref|NP_001084120|	 cyclin-dependent kinase 2 [Xenopus laevis]
gi|147903707|ref|NP_001088237|	 serine/arginine-rich splicing factor 12 [Xenopus laevis]
gi|147903709|ref|NP_001086133|	 phosphodiesterase 4B, cAMP-specific [Xenopus laevis]
gi|147903713|ref|NP_001090590|	 Meckel syndrome type 1 protein [Xenopus laevis]
gi|147903715|ref|NP_001085910|	 MGC82778 protein [Xenopus laevis]
gi|147903717|ref|NP_001080615|	 beta-site APP-cleaving enzyme 2 precursor [Xenopus laevis]
gi|147903719|ref|NP_001080572|	 programmed cell death 6 [Xenopus laevis]
gi|147903721|ref|NP_001089447|	 transcription factor CP2 [Xenopus laevis]
gi|147903723|ref|NP_001081559|	 nuclear/mitotic apparatus protein [Xenopus laevis]
gi|147903725|ref|NP_001090468|	 amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Xenopus laevis]
gi|147903727|ref|NP_001087662|	 MGC81873 protein [Xenopus laevis]
gi|147903731|ref|NP_001088667|	 folliculogenesis specific basic helix-loop-helix [Xenopus laevis]
gi|147903733|ref|NP_001083734|	 exportin 1 (CRM1 homolog) [Xenopus laevis]
gi|147903737|ref|NP_001085997|	 calpain 9 [Xenopus laevis]
gi|147903743|ref|NP_001079441|	 ribosomal L24 domain containing 1 [Xenopus laevis]
gi|147903745|ref|NP_001088312|	 proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Xenopus laevis]
gi|147903751|ref|NP_001089032|	 uncharacterized protein LOC503674 [Xenopus laevis]
gi|147903755|ref|NP_001090599|	 tudor domain-containing protein 5 [Xenopus laevis]
gi|147903757|ref|NP_001085668|	 MGC83623 protein [Xenopus laevis]
gi|147903759|ref|NP_001081412|	 maternal DNA replication licensing factor mcm3 [Xenopus laevis]
gi|147903761|ref|NP_001079367|	 nuclease-sensitive element-binding protein 1 [Xenopus laevis]
gi|147903763|ref|NP_001085659|	 ataxin 3 [Xenopus laevis]
gi|147903765|ref|NP_001091132|	 uncharacterized protein LOC100036882 [Xenopus laevis]
gi|147903769|ref|NP_001086304|	 chromosome 9 open reading frame 64 [Xenopus laevis]
gi|147903771|ref|NP_001089883|	 elongation of very long chain fatty acids protein 5 [Xenopus laevis]
gi|147903773|ref|NP_001079642|	 DnaJ (Hsp40) homolog, subfamily A, member 4, gene 2 [Xenopus laevis]
gi|147903775|ref|NP_001088514|	 regulator of G-protein signaling 2, 24kDa [Xenopus laevis]
gi|147903777|ref|NP_001084930|	 uncharacterized protein LOC431987 [Xenopus laevis]
gi|147903779|ref|NP_001080159|	 nuclear receptor subfamily 4, group A, member 1 [Xenopus laevis]
gi|147903781|ref|NP_001085451|	 adenylate kinase 1 [Xenopus laevis]
gi|147903787|ref|NP_001089204|	 PDX1 C-terminal inhibiting factor 1 [Xenopus laevis]
gi|147903789|ref|NP_001080701|	 nitrogen fixation cluster-like [Xenopus laevis]
gi|147903791|ref|NP_001079890|	 cell division cycle 23 homolog [Xenopus laevis]
gi|147903793|ref|NP_001090079|	 uncharacterized protein LOC735154 [Xenopus laevis]
gi|147903795|ref|NP_001087299|	 60S ribosomal protein L23a [Xenopus laevis]
gi|147903797|ref|NP_001082073|	 transmembrane tight junction protein claudin [Xenopus laevis]
gi|147903799|ref|NP_001091193|	 zinc finger and BTB domain-containing protein 8A.1-B [Xenopus laevis]
gi|147903801|ref|NP_001084357|	 growth factor receptor-bound protein 2-A [Xenopus laevis]
gi|147903803|ref|NP_001089305|	 mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A precursor [Xenopus laevis]
gi|147903805|ref|NP_001082055|	 DNA polymerase alpha catalytic subunit [Xenopus laevis]
gi|147903809|ref|NP_001086544|	 kelch-like protein 20 [Xenopus laevis]
gi|147903811|ref|NP_001089519|	 parvin, beta [Xenopus laevis]
gi|147903813|ref|NP_001085621|	 timeless interacting protein [Xenopus laevis]
gi|147903815|ref|NP_001086726|	 target of myb1 [Xenopus laevis]
gi|147903817|ref|NP_001089381|	 lens intrinsic membrane protein 2, 19kDa [Xenopus laevis]
gi|147903819|ref|NP_001087714|	 nucleoporin 37kDa [Xenopus laevis]
gi|147903827|ref|NP_001086402|	 TOX high mobility group box family member 2 [Xenopus laevis]
gi|147903829|ref|NP_001087621|	 striatin, calmodulin binding protein [Xenopus laevis]
gi|147903831|ref|NP_001082394|	 lectin, galactoside-binding, soluble, 8 (galectin 8) [Xenopus laevis]
gi|147903833|ref|NP_001088994|	 paired box protein Pax-3-B [Xenopus laevis]
gi|147903835|ref|NP_001080122|	 ribosomal protein L12 [Xenopus laevis]
gi|147903837|ref|NP_001080828|	 synuclein, gamma a [Xenopus laevis]
gi|147903839|ref|NP_001084755|	 NIMA-related kinase 7 [Xenopus laevis]
gi|147903841|ref|NP_001080111|	 dihydropyrimidinase-related protein 3-A [Xenopus laevis]
gi|147903845|ref|NP_001087118|	 PTPRF interacting protein, binding protein 2 (liprin beta 2) [Xenopus laevis]
gi|147903851|ref|NP_001091408|	 LSM3 homolog, U6 small nuclear RNA associated [Xenopus laevis]
gi|147903855|ref|NP_001084609|	 uncharacterized protein LOC414563 [Xenopus laevis]
gi|147903857|ref|NP_001079321|	 homeobox A13 [Xenopus laevis]
gi|147903859|ref|NP_001080125|	 KIT ligand precursor [Xenopus laevis]
gi|147903861|ref|NP_001088997|	 pendrin-like anion exchanger [Xenopus laevis]
gi|147903863|ref|NP_001088603|	 transportin 1 [Xenopus laevis]
gi|147903865|ref|NP_001083670|	 G protein-coupled receptor 124 [Xenopus laevis]
gi|147903867|ref|NP_001080237|	 LIM domain binding 3 [Xenopus laevis]
gi|147903871|ref|NP_001084982|	 solute carrier family 2 (facilitated glucose transporter), member 2 [Xenopus laevis]
gi|147903873|ref|NP_001089632|	 uncharacterized protein LOC734692 [Xenopus laevis]
gi|147903875|ref|NP_001084944|	 COX assembly mitochondrial protein homolog [Xenopus laevis]
gi|147903879|ref|NP_001088405|	 ring finger protein 185 [Xenopus laevis]
gi|147903881|ref|NP_001080684|	 voltage-dependent anion channel 1 [Xenopus laevis]
gi|147903883|ref|NP_001089560|	 BTB (POZ) domain containing 10 [Xenopus laevis]
gi|147903885|ref|NP_001091308|	 GTPase-activating protein and VPS9 domain-containing protein 1 [Xenopus laevis]
gi|147903887|ref|NP_001079115|	 Yamaguchi sarcoma viral (v-yes-1) oncogene homolog [Xenopus laevis]
gi|147903889|ref|NP_001079254|	 deleted in colorectal carcinoma [Xenopus laevis]
gi|147903891|ref|NP_001084537|	 charged multivesicular body protein 6-B [Xenopus laevis]
gi|147903893|ref|NP_001088119|	 aquaporin 12A precursor [Xenopus laevis]
gi|147903895|ref|NP_001084938|	 retinol dehydrogenase 10-B [Xenopus laevis]
gi|147903897|ref|NP_001079067|	 thyroid hormone-induced protein B precursor [Xenopus laevis]
gi|147903899|ref|NP_001079650|	 tetraspanin-31-B [Xenopus laevis]
gi|147903901|ref|NP_001082701|	 complement C3 [Xenopus laevis]
gi|147903903|ref|NP_001090265|	 exocyst complex component 8 [Xenopus laevis]
gi|147903908|ref|NP_001085980|	 aminoadipate-semialdehyde synthase [Xenopus laevis]
gi|147903910|ref|NP_001080021|	 pleckstrin [Xenopus laevis]
gi|147903912|ref|NP_001083962|	 transcription factor LSF [Xenopus laevis]
gi|147903914|ref|NP_001085168|	 uncharacterized protein LOC432251 [Xenopus laevis]
gi|147903918|ref|NP_001082012|	 calpain 8 [Xenopus laevis]
gi|147903920|ref|NP_001080707|	 EH-domain containing 4 [Xenopus laevis]
gi|147903924|ref|NP_001080563|	 heterogeneous nuclear ribonucleoprotein K [Xenopus laevis]
gi|147903926|ref|NP_001088713|	 POU class 2 associating factor 1 [Xenopus laevis]
gi|147903930|ref|NP_001085540|	 proteasome (prosome, macropain) subunit, beta type, 2 [Xenopus laevis]
gi|147903932|ref|NP_001089121|	 forkhead box protein N4 [Xenopus laevis]
gi|147903934|ref|NP_001087555|	 CD276 antigen homolog precursor [Xenopus laevis]
gi|147903936|ref|NP_001088925|	 hypothetical protein LOC496297 [Xenopus laevis]
gi|147903938|ref|NP_001091397|	 apoptosis-inducing factor 2 [Xenopus laevis]
gi|147903940|ref|NP_001082214|	 serine/threonine-protein kinase NLK2 [Xenopus laevis]
gi|147903942|ref|NP_001087740|	 adenosine deaminase, gene 2 [Xenopus laevis]
gi|147903946|ref|NP_001081042|	 metallothionein [Xenopus laevis]
gi|147903948|ref|NP_001085223|	 methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Xenopus laevis]
gi|147903952|ref|NP_001079934|	 bone morphogenetic protein 7 precursor [Xenopus laevis]
gi|147903954|ref|NP_001088804|	 cholesteryl ester transfer protein, plasma [Xenopus laevis]
gi|147903956|ref|NP_001091340|	 uncharacterized protein LOC100037177 [Xenopus laevis]
gi|147903962|ref|NP_001082021|	 BarH-like homeobox 2 [Xenopus laevis]
gi|147903964|ref|NP_001091141|	 ATP-binding cassette, sub-family G (WHITE), member 2 [Xenopus laevis]
gi|147903966|ref|NP_001079382|	 peptidyl-prolyl cis-trans isomerase FKBP1A [Xenopus laevis]
gi|147903968|ref|NP_001088252|	 uncharacterized protein LOC495083 [Xenopus laevis]
gi|147903970|ref|NP_001089147|	 noggin 4 [Xenopus laevis]
gi|147903972|ref|NP_001080274|	 phosphatidylinositol transfer protein, beta [Xenopus laevis]
gi|147903976|ref|NP_001087778|	 MGC84815 protein [Xenopus laevis]
gi|147903980|ref|NP_001087783|	 MGC85240 protein [Xenopus laevis]
gi|147903982|ref|NP_001084206|	 frizzled family receptor 8 precursor [Xenopus laevis]
gi|147903984|ref|NP_001086269|	 guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 [Xenopus laevis]
gi|147903986|ref|NP_001086197|	 ATPase, Na+/K+ transporting, beta 2 polypeptide [Xenopus laevis]
gi|147903988|ref|NP_001091326|	 single-stranded DNA-binding protein 1-B, mitochondrial [Xenopus laevis]
gi|147903990|ref|NP_001087439|	 MGC86332 protein precursor [Xenopus laevis]
gi|147903992|ref|NP_001085714|	 par-6 partitioning defective 6 homolog gamma [Xenopus laevis]
gi|147903994|ref|NP_001080421|	 trk-fused b [Xenopus laevis]
gi|147903996|ref|NP_001080872|	 NEDD4-binding protein 1 [Xenopus laevis]
gi|147903998|ref|NP_001089750|	 GABA(A) receptor-associated protein-like 2 [Xenopus laevis]
gi|147904002|ref|NP_001086460|	 synaptotagmin-like 4 [Xenopus laevis]
gi|147904006|ref|NP_001086387|	 nipsnap homolog 3A [Xenopus laevis]
gi|147904008|ref|NP_001079285|	 matrix metalloproteinase-21 precursor [Xenopus laevis]
gi|147904010|ref|NP_001088150|	 interferon-related developmental regulator 1 [Xenopus laevis]
gi|147904012|ref|NP_001090120|	 protein TSSC1 [Xenopus laevis]
gi|147904014|ref|NP_001079879|	 acetyl-CoA acetyltransferase 2 [Xenopus laevis]
gi|147904018|ref|NP_001088012|	 uncharacterized protein LOC494703 [Xenopus laevis]
gi|147904020|ref|NP_001086298|	 PPPDE peptidase domain-containing protein 2 [Xenopus laevis]
gi|147904022|ref|NP_001089331|	 thioredoxin-related transmembrane protein 2 precursor [Xenopus laevis]
gi|147904024|ref|NP_001084383|	 paired-like homeobox 2b [Xenopus laevis]
gi|147904026|ref|NP_001085468|	 MGC80149 protein [Xenopus laevis]
gi|147904028|ref|NP_001081513|	 prostaglandin D2 synthase, brain precursor [Xenopus laevis]
gi|147904032|ref|NP_001085413|	 DEP domain-containing protein 1A [Xenopus laevis]
gi|147904034|ref|NP_001081464|	 DNA polymerase subunit gamma-1 [Xenopus laevis]
gi|147904036|ref|NP_001087939|	 ras homolog gene family, member U [Xenopus laevis]
gi|147904038|ref|NP_001083878|	 RAC-alpha serine/threonine-protein kinase [Xenopus laevis]
gi|147904042|ref|NP_001091331|	 Na-K-2Cl cotransporter 1 [Xenopus laevis]
gi|147904044|ref|NP_001086631|	 TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa [Xenopus laevis]
gi|147904046|ref|NP_001081314|	 PYLa precursor [Xenopus laevis]
gi|147904048|ref|NP_001087073|	 Aladin [Xenopus laevis]
gi|147904054|ref|NP_001079484|	 gap junction protein, alpha 3, 46kDa [Xenopus laevis]
gi|147904056|ref|NP_001087070|	 spondin 2, extracellular matrix protein [Xenopus laevis]
gi|147904058|ref|NP_001086185|	 MGC84105 protein precursor [Xenopus laevis]
gi|147904060|ref|NP_001080886|	 protein-L-isoaspartate(D-aspartate)O-methyltransferase [Xenopus laevis]
gi|147904062|ref|NP_001086090|	 histone cluster 1, H2aa [Xenopus laevis]
gi|147904064|ref|NP_001089308|	 protein Spindly-A [Xenopus laevis]
gi|147904066|ref|NP_001086202|	 regulator of G-protein signaling 9-binding protein B [Xenopus laevis]
gi|147904068|ref|NP_001085153|	 uncharacterized protein LOC432235 [Xenopus laevis]
gi|147904070|ref|NP_001090243|	 armadillo repeat-containing protein 8 [Xenopus laevis]
gi|147904072|ref|NP_001080008|	 large proline-rich protein bag6-A [Xenopus laevis]
gi|147904074|ref|NP_001086692|	 heat shock 105kD [Xenopus laevis]
gi|147904076|ref|NP_001090271|	 DDB1 and CUL4 associated factor 17 [Xenopus laevis]
gi|147904078|ref|NP_001081378|	 troponin I, cardiac muscle [Xenopus laevis]
gi|147904080|ref|NP_001085327|	 coatomer protein complex, subunit epsilon [Xenopus laevis]
gi|147904082|ref|NP_001085344|	 coiled-coil domain containing 76 [Xenopus laevis]
gi|147904084|ref|NP_001080053|	 lamin B1 [Xenopus laevis]
gi|147904086|ref|NP_001087370|	 rab9 effector protein with kelch motifs [Xenopus laevis]
gi|147904088|ref|NP_001091265|	 hypothetical protein LOC100037072 [Xenopus laevis]
gi|147904092|ref|NP_001091219|	 uncharacterized protein LOC100036994 [Xenopus laevis]
gi|147904096|ref|NP_001080431|	 ring finger protein 11 [Xenopus laevis]
gi|147904098|ref|NP_001086046|	 MGC81806 protein [Xenopus laevis]
gi|147904100|ref|NP_001080750|	 charged multivesicular body protein 2b-A [Xenopus laevis]
gi|147904110|ref|NP_001090287|	 uncharacterized protein LOC779196 [Xenopus laevis]
gi|147904112|ref|NP_001089392|	 chromosome 2 open reading frame 28 precursor [Xenopus laevis]
gi|147904116|ref|NP_001079647|	 splicing factor, arginine/serine-rich 6 [Xenopus laevis]
gi|147904118|ref|NP_001080331|	 glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding) [Xenopus laevis]
gi|147904120|ref|NP_001088223|	 integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41), gene 2 precursor [Xenopus laevis]
gi|147904122|ref|NP_001086941|	 mediator of RNA polymerase II transcription subunit 8-B [Xenopus laevis]
gi|147904124|ref|NP_001089378|	 uncharacterized protein LOC734428 [Xenopus laevis]
gi|147904126|ref|NP_001091392|	 tyrosine hydroxylase [Xenopus laevis]
gi|147904128|ref|NP_001082270|	 furin (paired basic amino acid cleaving enzyme) precursor [Xenopus laevis]
gi|147904130|ref|NP_001086263|	 aconitase 2, mitochondrial [Xenopus laevis]
gi|147904132|ref|NP_001089842|	 solute carrier family 7 (amino acid transporter light chain, L system), member 5 [Xenopus laevis]
gi|147904134|ref|NP_001086211|	 rhomboid, veinlet-like 1 [Xenopus laevis]
gi|147904136|ref|NP_001080912|	 protein-glutamine gamma-glutamyltransferase [Xenopus laevis]
gi|147904138|ref|NP_001084218|	 heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A) [Xenopus laevis]
gi|147904140|ref|NP_001087795|	 MGC85532 protein [Xenopus laevis]
gi|147904142|ref|NP_001082568|	 topoisomerase (DNA) II binding protein 1 [Xenopus laevis]
gi|147904144|ref|NP_001086556|	 calcium homeostasis modulator 2 [Xenopus laevis]
gi|147904152|ref|NP_001086122|	 isocitrate dehydrogenase 3 (NAD+) gamma [Xenopus laevis]
gi|147904154|ref|NP_001089701|	 WD repeat domain 34 [Xenopus laevis]
gi|147904156|ref|NP_001080823|	 aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Xenopus laevis]
gi|147904158|ref|NP_001084750|	 TSC22 domain family, member 2 [Xenopus laevis]
gi|147904160|ref|NP_001079461|	 ephrin type-A receptor 4-B [Xenopus laevis]
gi|147904162|ref|NP_001089152|	 hypothetical protein 734185 precursor [Xenopus laevis]
gi|147904164|ref|NP_001082556|	 uncharacterized protein LOC398565 [Xenopus laevis]
gi|147904168|ref|NP_001085188|	 sulfatase modifying factor 2 [Xenopus laevis]
gi|147904170|ref|NP_001086536|	 CKLF-like MARVEL transmembrane domain containing 7 [Xenopus laevis]
gi|147904172|ref|NP_001081219|	 protein-S-isoprenylcysteine O-methyltransferase [Xenopus laevis]
gi|147904174|ref|NP_001087884|	 MGC83272 protein [Xenopus laevis]
gi|147904176|ref|NP_001085052|	 F-box protein 25 [Xenopus laevis]
gi|147904178|ref|NP_001087532|	 MGC84102 protein [Xenopus laevis]
gi|147904184|ref|NP_001091426|	 uncharacterized protein LOC100049124 [Xenopus laevis]
gi|147904186|ref|NP_001081734|	 insulin-like growth factor 1 receptor precursor [Xenopus laevis]
gi|147904190|ref|NP_001089966|	 homeobox D11 [Xenopus laevis]
gi|147904192|ref|NP_001085543|	 protein midA homolog, mitochondrial precursor [Xenopus laevis]
gi|147904196|ref|NP_001088136|	 tetraspanin 4 [Xenopus laevis]
gi|147904198|ref|NP_001082548|	 glutamine synthetase [Xenopus laevis]
gi|147904200|ref|NP_001089101|	 RECQL4-helicase-like protein [Xenopus laevis]
gi|147904202|ref|NP_001080228|	 ATPase, Na+/K+ transporting, beta 1 polypeptide [Xenopus laevis]
gi|147904206|ref|NP_001089998|	 inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Xenopus laevis]
gi|147904208|ref|NP_001086833|	 zinc finger, AN1-type domain 2A [Xenopus laevis]
gi|147904210|ref|NP_001089233|	 WD repeat-containing protein 69 [Xenopus laevis]
gi|147904216|ref|NP_001086559|	 suppressor of defective silencing 3 homolog [Xenopus laevis]
gi|147904218|ref|NP_001087486|	 WD repeat domain phosphoinositide-interacting protein 3 [Xenopus laevis]
gi|147904220|ref|NP_001089219|	 Rho GTPase activating protein 11A, gene 2 [Xenopus laevis]
gi|147904224|ref|NP_001087033|	 desmin, gene 1 [Xenopus laevis]
gi|147904226|ref|NP_001085977|	 ribosomal protein L37 [Xenopus laevis]
gi|147904232|ref|NP_001080621|	 ribosomal protein L30 [Xenopus laevis]
gi|147904234|ref|NP_001084707|	 neuropilin 2 precursor [Xenopus laevis]
gi|147904236|ref|NP_001088289|	 cbp/p300-interacting transactivator 2 [Xenopus laevis]
gi|147904238|ref|NP_001087798|	 cysteine and glycine-rich protein 1 [Xenopus laevis]
gi|147904242|ref|NP_001090355|	 NK6 homeobox 2 [Xenopus laevis]
gi|147904244|ref|NP_001082400|	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 [Xenopus laevis]
gi|147904246|ref|NP_001087627|	 MGC81578 protein [Xenopus laevis]
gi|147904248|ref|NP_001086955|	 fermitin family member 2 [Xenopus laevis]
gi|147904250|ref|NP_001079271|	 syndecan 3 precursor [Xenopus laevis]
gi|147904254|ref|NP_001089819|	 SEC16 homolog A [Xenopus laevis]
gi|147904256|ref|NP_001091378|	 C-type lectin domain family 3, member B precursor [Xenopus laevis]
gi|147904258|ref|NP_001079101|	 single-minded homolog 2 [Xenopus laevis]
gi|147904260|ref|NP_001087962|	 crystallin, beta A1 [Xenopus laevis]
gi|147904266|ref|NP_001089167|	 lysyl oxidase precursor [Xenopus laevis]
gi|147904268|ref|NP_001091381|	 uncharacterized protein LOC100037235 [Xenopus laevis]
gi|147904270|ref|NP_001086252|	 caM kinase-like vesicle-associated protein [Xenopus laevis]
gi|147904276|ref|NP_001089738|	 uncharacterized protein LOC734801 [Xenopus laevis]
gi|147904280|ref|NP_001087160|	 ADP-ribosylation factor GTPase activating protein 1 [Xenopus laevis]
gi|147904284|ref|NP_001087284|	 ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit [Xenopus laevis]
gi|147904288|ref|NP_001091158|	 elongation factor Ts, mitochondrial [Xenopus laevis]
gi|147904290|ref|NP_001090108|	 transmembrane protein 107 [Xenopus laevis]
gi|147904294|ref|NP_001080182|	 RAN, member RAS oncogene family [Xenopus laevis]
gi|147904296|ref|NP_001087968|	 uncharacterized protein LOC494651 [Xenopus laevis]
gi|147904298|ref|NP_001089055|	 guanine nucleotide binding protein (G protein), gamma 12 [Xenopus laevis]
gi|147904300|ref|NP_001083302|	 hypothetical protein LOC398854 [Xenopus laevis]
gi|147904302|ref|NP_001083506|	 cysteine dioxygenase, type I [Xenopus laevis]
gi|147904308|ref|NP_001079780|	 cytochrome P450, family 46, subfamily A, polypeptide 1 [Xenopus laevis]
gi|147904310|ref|NP_001082562|	 actin-binding protein anillin [Xenopus laevis]
gi|147904314|ref|NP_001090313|	 N-alpha-acetyltransferase 30, NatC catalytic subunit [Xenopus laevis]
gi|147904316|ref|NP_001085370|	 guanine nucleotide binding protein (G protein), gamma 5 [Xenopus laevis]
gi|147904318|ref|NP_001089790|	 mitochondrial ribosomal protein L21 [Xenopus laevis]
gi|147904320|ref|NP_001084837|	 replication factor C (activator 1) 2, 40kDa [Xenopus laevis]
gi|147904322|ref|NP_001080314|	 kinesin-like protein KIF2C [Xenopus laevis]
gi|147904326|ref|NP_001088696|	 IKBKB interacting protein [Xenopus laevis]
gi|147904328|ref|NP_001087325|	 C-type lectin domain family 3 member A homolog precursor [Xenopus laevis]
gi|147904332|ref|NP_001084918|	 zinc finger protein Pegasus [Xenopus laevis]
gi|147904334|ref|NP_001088113|	 hypothetical protein LOC494815 [Xenopus laevis]
gi|147904336|ref|NP_001080375|	 neuroepithelial cell transforming 1 [Xenopus laevis]
gi|147904338|ref|NP_001089248|	 pituitary tumor-transforming 1 interacting protein, gene 2 precursor [Xenopus laevis]
gi|147904342|ref|NP_001079075|	 olfactory receptor, family 5, subfamily I, member 1 [Xenopus laevis]
gi|147904344|ref|NP_001090514|	 TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa [Xenopus laevis]
gi|147904346|ref|NP_001080279|	 calcium/calmodulin-dependent protein kinase I [Xenopus laevis]
gi|147904348|ref|NP_001087818|	 MGC86492 protein [Xenopus laevis]
gi|147904352|ref|NP_001085905|	 methyltransferase like 7A [Xenopus laevis]
gi|147904354|ref|NP_001080610|	 zinc finger protein 36, C3H1 type-like 2-A [Xenopus laevis]
gi|147904356|ref|NP_001083237|	 insulin-like growth factor binding protein 1 precursor [Xenopus laevis]
gi|147904358|ref|NP_001090193|	 DNA-directed DNA polymerase epsilon 4 [Xenopus laevis]
gi|147904360|ref|NP_001085564|	 MGC80468 protein [Xenopus laevis]
gi|147904362|ref|NP_001088306|	 ferredoxin reductase precursor [Xenopus laevis]
gi|147904364|ref|NP_001087143|	 epoxide hydrolase 2, cytoplasmic [Xenopus laevis]
gi|147904366|ref|NP_001085824|	 disrupted in renal carcinoma protein 2 homolog [Xenopus laevis]
gi|147904370|ref|NP_001079725|	 charged multivesicular body protein 1b [Xenopus laevis]
gi|147904372|ref|NP_001085014|	 calponin 2 [Xenopus laevis]
gi|147904374|ref|NP_001088743|	 serine/threonine kinase 19 [Xenopus laevis]
